author,date,title,url,views,game,game_type
Mouchi,2021-01-01 10:59:00,Statistiques 2020 de la Rédaction,https://www.mundusbellicus.fr/596800-statistiques-2020-de-la-rédaction,4.0,,
ALG,2020-12-30 11:17:00,Sortie du mod Last Alliance en v0.2.1 - le Calenardhon,https://www.mundusbellicus.fr/596786-sortie-du-mod-last-alliance-total-war-v0-2-1-calenardhon,128.0,,
Ancient Egypt Fan,2020-12-30 01:44:00,Sumerians - Patch Version 0.1.4,https://www.mundusbellicus.fr/596782-sumerians-patch-version-0-1-4,38.0,,
ALG,2020-12-30 01:10:00,Mod Rise of Mordor : sortie de la v0.3.5,https://www.mundusbellicus.fr/596762-mod-rise-of-mordor-sortie-de-la-v0-3-5,237.0,,
Ancient Egypt Fan,2020-12-29 14:52:00,Builders of China - Joyeux Noël de la part de l'équipe de Builders of China !,https://www.mundusbellicus.fr/596757-builders-of-china-joyeux-noel-de-la-part-de-l-equipe-de-builders-of-china,56.0,,
Ancient Egypt Fan,2020-12-29 13:55:00,Ancient Worlds : Egypt - Soutien au Steam Workshop et amélioration de l'éditeur de cartes,https://www.mundusbellicus.fr/596755-ancient-worlds-egypt-soutien-au-steam-workshop-et-amelioration-de-l-editeur-de-cartes,31.0,,
ALG,2020-12-28 05:07:00,"Après 12 années de développement, sortie de Tsardoms : Total War v1.0 !",https://www.mundusbellicus.fr/596708-sortie-du-mod-tsardoms-total-war-v1-0,388.0,,
Mouchi,2020-12-27 22:25:00,"Fields of History: The Great War - Constructions, Reparations et Maintenance",https://www.mundusbellicus.fr/596683-fields-of-history-the-great-war-constructions-reparations-et-maintenance,97.0,,
Ancient Egypt Fan,2020-12-19 17:48:00,Supermarket Manager - Carnet de Développement N°5,https://www.mundusbellicus.fr/596532-supermarket-manager-carnet-de-developpement-n5,165.0,Supermarket Manager,Gestion
Ancient Egypt Fan,2020-12-18 22:17:00,Nebuchadnezzar - Menu contextuel sur la qualité de la vie !,https://www.mundusbellicus.fr/596512-nebuchadnezzar-menu-contextuel-sur-la-qualite-de-la-vie,140.0,Nebuchadnezzar,Gestion
Ancient Egypt Fan,2020-12-18 21:22:00,Ancient Worlds : Egypt - Monuments et Commerce Terrestre,https://www.mundusbellicus.fr/596511-ancient-worlds-egypt-monuments-et-commerce-terrestre,107.0,Ancient Worlds : Egypt,Gestion
ALG,2020-12-16 13:24:00,"Sortie du mod Absolutum Dominium, une refonte totale des unités et modèles 3D d'Empire : Total War",https://www.mundusbellicus.fr/596461-mod-absolutum-dominium-refonte-totale-unites-modeles-3d-empire-total-war,314.0,Empire : Total War,Total War
Mouchi,2020-12-15 21:31:00,Humankind - Beta jusqu'au 28 décembre,https://www.mundusbellicus.fr/596446-humankind-beta-jusqu-au-28-decembre,326.0,Humankind,4X
