title;url;author;date;views;game;game_type
Diarium Strategorum - 30ème édition - Le Journal des Stratèges : novembre 2021;https://www.mundusbellicus.fr/606740-diarium-strategorum-30ème-édition-le-journal-des-stratèges-novembre-2021;CptSparke;2021-12-31 12:00:00;15.0;Diarium Strategorum;
Builders of Egypt - Carnet de Développement #33;https://www.mundusbellicus.fr/606734-builders-of-egypt-carnet-de-developpement-33;Ancient Egypt Fan;2021-12-31 00:15:00;18.0;Builders of Egypt;Gestion
Présentation de Decisive Campaigns : Ardennes Offensive;https://www.mundusbellicus.fr/606731-présentation-de-decisive-campaigns-ardennes-offensive;Foeurdr;2020-12-30 20:46:00;61.0;Decisive Campaigns : Ardennes Offensive;Stratégie Tour par Tour
Fields of History: The Great War - Ordres Aériens Offensifs;https://www.mundusbellicus.fr/606705-fields-of-history-the-great-war-ordres-aeriens-offensifs;Mouchi;2021-12-29 18:13:00;61.0;Fields of History: The Great War;Grande Stratégie
Builders of Egypt - Carnet de Développement #32;https://www.mundusbellicus.fr/606625-builders-of-egypt-carnet-de-developpement-32;Ancient Egypt Fan;2021-12-25 21:02:00;79.0;Builders of Egypt;Gestion
Présentation de The Troop;https://www.mundusbellicus.fr/606600-présentation-de-the-troop;Foeurdr;2021-12-24 19:59:00;194.0;The Troop;Stratégie Tour par Tour
Victoria 3 - Carnets XXIV & XXV : De la guerre, partie II;https://www.mundusbellicus.fr/606594-victoria-3-carnets-xxiv-xxv-de-la-guerre-partie-ii;Limse;2021-12-24 17:45:00;365.0;Victoria 3;Grande Stratégie
Project Wunderwaffe - Nouvelles de Production #13;https://www.mundusbellicus.fr/606527-project-wunderwaffe-nouvelles-de-production-13;Ancient Egypt Fan;2021-12-21 22:01:00;121.0;Project Wunderwaffe;Gestion
Builders of Egypt - Carnet de Développement #31;https://www.mundusbellicus.fr/606416-builders-of-egypt-carnet-de-developpement-31;Ancient Egypt Fan;2021-12-18 01:30:00;93.0;Builders of Egypt;Gestion
Field of Glory II : Medieval - Storm of Arrows;https://www.mundusbellicus.fr/606363-field-of-glory-ii-medieval-storm-of-arrows;Foeurdr;2021-12-16 23:22:00;211.0;Field of Glory II : Medieval;Stratégie Tour par Tour
Builders of Egypt - Carnet de Développement #30;https://www.mundusbellicus.fr/606250-builders-of-egypt-carnet-de-developpement-30;Ancient Egypt Fan;2021-12-10 22:01:00;112.0;Builders of Egypt;Gestion
El Dorado: The Golden City Builder - Carnet de Développement #4;https://www.mundusbellicus.fr/606165-el-dorado-the-golden-city-builder-carnet-de-développement-4;Ancient Egypt Fan;2021-12-06 21:19:00;169.0;El Dorado: The Golden City Builder;Gestion
Project Wunderwaffe - Nouvelles de Production #12;https://www.mundusbellicus.fr/606164-project-wunderwaffe-nouvelles-de-production-12;Ancient Egypt Fan;2021-12-06 21:02:00;122.0;Project Wunderwaffe;Gestion
Diarium Strategorum - 29ème édition - Le Journal des Stratèges : octobre 2021;https://www.mundusbellicus.fr/606126-diarium-strategorum-29ème-édition-le-journal-des-stratèges-octobre-2021;CptSparke;2021-12-05 14:50:00;136.0;Diarium Strategorum;
Builders of Egypt - Carnet de Développement #29;https://www.mundusbellicus.fr/606102-builders-of-egypt-carnet-de-developpement-29;Ancient Egypt Fan;2021-12-03 22:35:00;86.0;Builders of Egypt;Gestion
Pharaoh : A New Era - Journal de développement - Derrière la musique;https://www.mundusbellicus.fr/606064-pharaoh-a-new-era-journal-de-developpement-derriere-la-musique;Ancient Egypt Fan;2021-12-02 18:46:00;108.0;Pharaoh : A New Era;Gestion
"Stellaris, carnet des développeurs n°234 : Après la 3.2 ""Herbert"" et Aquatics.";https://www.mundusbellicus.fr/606031-stellaris-carnet-des-developpeurs-n-234-apres-la-3-2-herbert-et-aquatics;Vilcoyote;2021-12-02 01:09:00;350.0;Stellaris;Grande Stratégie
Age of Empires III : Definitive Edition - Civilisation du Mexique;https://www.mundusbellicus.fr/606028-age-of-empires-iii-definitive-edition-civilisation-du-mexique;Ancient Egypt Fan;2021-12-02 00:39:00;172.0;Age of Empires III : Definitive Edition;STR
Europa Universalis IV - Patch 1.32.2 - Songhai;https://www.mundusbellicus.fr/605991-europa-universalis-iv-patch-1-32-2-songhai;AcidePrussique;2021-11-30 19:59:00;383.0;Europa Universalis IV;Grande Stratégie
Hellish Quart : Nouvelles en vrac;https://www.mundusbellicus.fr/605965-hellish-quart-nouvelles-en-vrac;Foeurdr;2021-11-30 06:15:00;61.0;Hellish quart;RPG
Crusader Kings 3 : Inspirations d'Aventuriers;https://www.mundusbellicus.fr/605920-crusader-kings-3-inspirations-d-aventuriers;Mouchi;2021-11-28 10:59:00;470.0;Crusader Kings 3;Grande Stratégie
