author,date,title,url,views,game,game_type
Ancient Egypt Fan,2020-12-19 17:48:00,Supermarket Manager - Carnet de Développement N°5,https://www.mundusbellicus.fr/596532-supermarket-manager-carnet-de-developpement-n5,141,Supermarket Manager,Gestion
Ancient Egypt Fan,2020-12-18 22:17:00,Nebuchadnezzar - Menu contextuel sur la qualité de la vie !,https://www.mundusbellicus.fr/596512-nebuchadnezzar-menu-contextuel-sur-la-qualite-de-la-vie,115,Nebuchadnezzar,Gestion
Ancient Egypt Fan,2020-12-18 21:22:00,Ancient Worlds : Egypt - Monuments et Commerce Terrestre,https://www.mundusbellicus.fr/596511-ancient-worlds-egypt-monuments-et-commerce-terrestre,81,Ancient Worlds : Egypt,Gestion
ALG,2020-12-16 13:24:00,"Sortie du mod Absolutum Dominium, une refonte totale des unités et modèles 3D d'Empire : Total War",https://www.mundusbellicus.fr/596461-mod-absolutum-dominium-refonte-totale-unites-modeles-3d-empire-total-war,280,Empire : Total War,Total War
Mouchi,2020-12-15 21:31:00,Humankind - Beta jusqu'au 28 décembre,https://www.mundusbellicus.fr/596446-humankind-beta-jusqu-au-28-decembre,287,Humankind,4X
AcidePrussique,2020-12-15 16:28:00,Europa Universalis IV - Carnet de développement du 15 Décembre 2020,https://www.mundusbellicus.fr/596433-europa-universalis-iv-carnet-de-developpement-du-15-decembre-2020,458,Europa Universalis IV,Grande Stratégie
ALG,2020-12-13 01:30:00,Mod Medieval Kingdoms : Total War - Mise à jour v2.0,https://www.mundusbellicus.fr/596341-mod-medieval-kingdoms-total-war-v-2-0,830,Medieval II : Total War,Total War
Ancient Egypt Fan,2020-12-12 20:55:00,Builders of China - Inscription aux bêta-tests,https://www.mundusbellicus.fr/596325-builders-of-china-inscription-aux-beta-tests,101,Builders of China,Gestion
Ancient Egypt Fan,2020-12-12 20:41:00,Builders of China - Carnet de Développement N°5,https://www.mundusbellicus.fr/596324-builders-of-china-carnet-de-developpement-n5,89,Builders of China,Gestion
ALG,2020-12-11 20:52:00,Mod Shokuho : le Japon médiéval dans Mount and Blade II : Bannerlord,https://www.mundusbellicus.fr/596298-mod-shokuho-le-japon-medieval-dans-mount-and-blade-ii-bannerlord,256,Mount & Blade II : Bannerlord,RPG
Ancient Egypt Fan,2020-12-10 21:41:00,Pharaoh : A New Era - Découvrez nos atouts remaniés - partie 1,https://www.mundusbellicus.fr/596279-pharaoh-a-new-era-decouvrez-nos-atouts-remanies-partie-1,288,Pharaoh : A New Era,Gestion
